building,street,village,district,city,province,postalcode,country,key
Dk. Januar,Jr. Mustofa no 91,Kalimantan BaratLS,Staffordshire,Subang,Papua,74843,Indonesia,-OMVCuGkHaNoPJF1J4g6
Jr. Martana,Jln. Jati no 1,Sulawesi UtaraMT,Clwyd,Wates,Kalimantan Tengah,64822,Indonesia,-OMVCuGkvv9EMvGP7Qmz
Gg. Umi,Psr. Radika no 6,DI YogyakartaMY,Staffordshire,Rumbia,Banten,66444,Indonesia,-OMVCuGkz7bt_TihfrnA
Ki. Melinda,Ds. Darmana no 2,RiauYE,Hancock County,Cikampek,Papua Barat,35504,Indonesia,-OMVCuGkLRMFcHKE3aZ-
Ds. Yunita,Psr. Lulut no 58,Kalimantan UtaraTV,Franklin County,Malili,Sulawesi Tenggara,11929,Indonesia,-OMVCuGlF9s2Tpywtruo
Jln. Dariati,Ds. Hasanah no 8,JambiUS,Derbyshire,Pekalongan,Papua Barat,83076,Indonesia,-OMVCuGlBqkvOJeEyZkJ
Gg. Okto,Psr. Lesmana no 11,BaliMA,Northumberland,Wonosobo,Kalimantan Selatan,84404,Indonesia,-OMVCuGlVriBDz-i5J2W
Dk. Ega,Gg. Irwan no 53,Sumatera BaratTZ,Humberside,Airmadidi,Nusa Tenggara Timur,48675,Indonesia,-OMVCuGlAvIhYygafMEP
Dk. Nadine,Jr. Mangunsong no 81,BengkuluMX,Lincoln County,Nganjuk,Sulawesi Barat,00586,Indonesia,-OMVCuGl84tPtgIcMV9Q
Psr. Rajata,Jln. Lestari no 7,BantenBN,Bedfordshire,Sumbawa Besar,Jawa Barat,74548,Indonesia,-OMVCuGl9gOfYMrGbbdY
Psr. Yanuar,Kpg. Karsa no 78,DKI JakartaUY,Lancashire,Tomohon,Banten,43983,Indonesia,-OMVCuGmMkIv8xoEUVDZ
Gg. Alika,Gg. Nasab no 64,Sulawesi SelatanTN,Cleveland,Makale,Papua,11361,Indonesia,-OMVCuGmniIwoShIofqp
Kpg. Zahrah,Jr. Wacana no 75,Kalimantan UtaraIQ,Crawford County,Tangerang,Jawa Tengah,26565,Indonesia,-OMVCuGmDyKN1Kcc4OMb
Ds. Halim,Ds. Wasita no 2,Sumatera UtaraGD,Tyne and Wear,Bekasi,DKI Jakarta,49442,Indonesia,-OMVCuGmi3iC-1qAs3JV
Ki. Yuliarti,Jr. Mahestri no 91,BengkuluCF,Hancock County,Gorontalo,Aceh,56702,Indonesia,-OMVCuGmyfK3s-YQCC4x
